Model,History,Block Consistency,Consistent Blocks,Total Blocks
allam-2-7b,no_history,0.2,2,10
llama-3.1-8b-instant,no_history,0.5,5,10
gemma2-9b-it,no_history,0.6,6,10
gemma2-9b-it,with_history,0.7,7,10
allam-2-7b,with_history,0.1,1,10
llama-3.3-70b-versatile,with_history,0.5,5,10
llama3-70b-8192,no_history,0.6,6,10
llama3-70b-8192,with_history,0.5,5,10
gemini-2.0-flash-lite,no_history,0.5,5,10
llama-3.3-70b-versatile,no_history,0.5,5,10
llama-3.1-8b-instant,with_history,0.4,4,10
gemini-2.0-flash-lite,with_history,0.5,5,10
