Model,Source,History Gain,Background
allam-2-7b,Overall,-0.05555555555555558,
allam-2-7b,TIMSS,-0.041666666666666685,
allam-2-7b,NASA,-0.04166666666666663,
allam-2-7b,NAEP,-0.08333333333333337,
allam-2-7b,,-0.041666666666666685,none
allam-2-7b,,0.33333333333333337,nasa-tbl-orb
allam-2-7b,,0.0,nasa-flare-tbl
allam-2-7b,,-0.33333333333333337,vector-roof-solar
allam-2-7b,,-0.25,cloud-mass
allam-2-7b,,0.0,rainfall-rates
allam-2-7b,,0.0,naep-read-fish
allam-2-7b,,0.16666666666666674,naep-read-fun
allam-2-7b,,-0.16666666666666674,naep-read-meters
allam-2-7b,,-0.16666666666666674,naep-read-shark
allam-2-7b,,-0.25,naep-read-alligator
gemma2-9b-it,Overall,0.06944444444444442,
gemma2-9b-it,TIMSS,0.041666666666666685,
gemma2-9b-it,NASA,0.16666666666666663,
gemma2-9b-it,NAEP,0.0,
gemma2-9b-it,,0.041666666666666685,none
gemma2-9b-it,,0.16666666666666663,nasa-tbl-orb
gemma2-9b-it,,0.0,nasa-flare-tbl
gemma2-9b-it,,0.16666666666666663,vector-roof-solar
gemma2-9b-it,,0.25,cloud-mass
gemma2-9b-it,,0.3333333333333333,rainfall-rates
gemma2-9b-it,,0.0,naep-read-fish
gemma2-9b-it,,0.0,naep-read-fun
gemma2-9b-it,,0.0,naep-read-meters
gemma2-9b-it,,0.0,naep-read-shark
gemma2-9b-it,,0.0,naep-read-alligator
llama3-70b-8192,Overall,-0.04166666666666674,
llama3-70b-8192,TIMSS,-0.04166666666666663,
llama3-70b-8192,NASA,-0.08333333333333337,
llama3-70b-8192,NAEP,0.0,
llama3-70b-8192,,-0.04166666666666663,none
llama3-70b-8192,,-0.16666666666666663,nasa-tbl-orb
llama3-70b-8192,,-0.20000000000000007,nasa-flare-tbl
llama3-70b-8192,,0.16666666666666674,vector-roof-solar
llama3-70b-8192,,-0.25,cloud-mass
llama3-70b-8192,,0.0,rainfall-rates
llama3-70b-8192,,0.0,naep-read-fish
llama3-70b-8192,,0.0,naep-read-fun
llama3-70b-8192,,0.0,naep-read-meters
llama3-70b-8192,,0.0,naep-read-shark
llama3-70b-8192,,0.0,naep-read-alligator
llama-3.3-70b-versatile,Overall,0.02777777777777779,
llama-3.3-70b-versatile,TIMSS,0.04166666666666674,
llama-3.3-70b-versatile,NASA,0.04166666666666663,
llama-3.3-70b-versatile,NAEP,0.0,
llama-3.3-70b-versatile,,0.04166666666666674,none
llama-3.3-70b-versatile,,0.16666666666666663,nasa-tbl-orb
llama-3.3-70b-versatile,,0.0,nasa-flare-tbl
llama-3.3-70b-versatile,,0.16666666666666663,vector-roof-solar
llama-3.3-70b-versatile,,-0.25,cloud-mass
llama-3.3-70b-versatile,,0.0,rainfall-rates
llama-3.3-70b-versatile,,0.0,naep-read-fish
llama-3.3-70b-versatile,,0.0,naep-read-fun
llama-3.3-70b-versatile,,0.0,naep-read-meters
llama-3.3-70b-versatile,,0.0,naep-read-shark
llama-3.3-70b-versatile,,0.0,naep-read-alligator
llama-3.1-8b-instant,Overall,0.06944444444444453,
llama-3.1-8b-instant,TIMSS,0.125,
llama-3.1-8b-instant,NASA,0.08333333333333337,
llama-3.1-8b-instant,NAEP,0.0,
llama-3.1-8b-instant,,0.125,none
llama-3.1-8b-instant,,0.16666666666666669,nasa-tbl-orb
llama-3.1-8b-instant,,0.39999999999999997,nasa-flare-tbl
llama-3.1-8b-instant,,0.0,vector-roof-solar
llama-3.1-8b-instant,,-0.5,cloud-mass
llama-3.1-8b-instant,,0.3333333333333333,rainfall-rates
llama-3.1-8b-instant,,0.0,naep-read-fish
llama-3.1-8b-instant,,0.0,naep-read-fun
llama-3.1-8b-instant,,0.0,naep-read-meters
llama-3.1-8b-instant,,0.0,naep-read-shark
llama-3.1-8b-instant,,0.0,naep-read-alligator
gemini-2.0-flash-lite,Overall,0.01388888888888884,
gemini-2.0-flash-lite,TIMSS,-0.04166666666666663,
gemini-2.0-flash-lite,NASA,0.04166666666666663,
gemini-2.0-flash-lite,NAEP,0.04166666666666663,
gemini-2.0-flash-lite,,-0.04166666666666663,none
gemini-2.0-flash-lite,,-0.33333333333333337,nasa-tbl-orb
gemini-2.0-flash-lite,,0.19999999999999996,nasa-flare-tbl
gemini-2.0-flash-lite,,0.16666666666666663,vector-roof-solar
gemini-2.0-flash-lite,,0.25,cloud-mass
gemini-2.0-flash-lite,,0.0,rainfall-rates
gemini-2.0-flash-lite,,0.0,naep-read-fish
gemini-2.0-flash-lite,,0.0,naep-read-fun
gemini-2.0-flash-lite,,0.0,naep-read-meters
gemini-2.0-flash-lite,,0.0,naep-read-shark
gemini-2.0-flash-lite,,0.25,naep-read-alligator
